method,method_reclass,list of possible equipment used,notes
Animal Logging,Manual,animal logging,
Chemical,Manual,aerial sprayer; backpack sprayer; broadcast seeder (hand); hand sprayer; hand spreader; hand work; livestock sprayer; mobile ground sprayer; spreader,
Chipping,Mastication,chipper; mulcher; roller chopper; shredder,
Christmas Tree Harvest,Manual,hand work,
"Crushing, pushing",Mastication,dozer; mulcher; roller chopper,
Cut trees and brush,SKIP,chain saw; chipper; hand work; power hand; pulaski,
Fire,SKIP,aerial ignition device; axe; brush cutter; chain saw; drip torch; hand saw; hand tool; hand work; helitorch; lumagel; ping pong balls; shovel; track loader/jammer,
Firewood Removal,SKIP,chain saw; hand work; low ground pressure machinery (non-harvest); power hand,
Girdle,Manual,chain saw,
"Hand cut, cut surface treatment",Manual,hand saw; hand tool,
Hand piling,Manual,chain saw; hand saw; hand tool; hand work,
Helicopter,Mechanical,helicopter,
Highlead,Mechanical,,
Logging Methods,Mechanical,rubber tired skidder logging; tractor logging,
Maintenance,Mechanical,low ground pressure machinery; mower; dozer,
Manual,Manual,auger; axe; chain saw; dibble; fencing; hand saw; hand work; hazel hoe; hoe; hoedad; ladders; machete; manual logging; planting bar; propane torch; pole pruner; pruning saw; shovel; terra torch,
Manual Logging,Manual,,
Mechanical,SKIP,Backpack sprayer; Brush cutter; Chain Saw; Chipper; Cut to length; Disc; Dozer; Drum Shredder; Excavator; Feller Buncher; Forwarder; Grapple Piler; Ground Base Skidder; Hand Work; Low ground pressure machinery (non-harvest); Masticator; Mobile ground sprayer; Mower; Mulcher; Ripper; Roller Chopper; Rubber tired skidder logging; Scarification rake; Single span skyline; Skid-Steer-Type Vehicle; Small Yarder; Track loader/jammer; Tractor  logging; Tractor (non-harvest); Tree Shear; Utility Vehicle,
Mechanical pile,Mechanical,dozer; grappler piler; tractor (non-harvest),
Mobile Ground,SKIP,chipper; low ground pressure machinery; tractor,
Not Applicable,SKIP,,
Power Hand,Manual,chain saw; mower,
Prescribed Burn,SKIP,aerial ignition device; auger; drip torch; hand work; helicopter (non-harvest); helitorch; lumagel; ping pong balls; propane torch,
Quick Plot Exams,SKIP,,
Removal,Removal,chain saw; chipper; dozer; small yarder; tractor (non-harvest); tree shear,
Tractor Logging,Mechanical,feller buncher; ground base skidder; hand work; loader logging; other logging; rubber tired skidder logging; tractor logging,
Utilizer - Chip,SKIP,Mechanized systems (felling/bucking/delimbing); utilizer-chip,
Walk-through,Mechanical,,
NA,SKIP,,
